"X.U.FEFF.id","title","collection","english_speaking","budget","budget_boxcox","popularity","popularity_boxcox","runtime","mes","year","productoras","reparto","produccion","revenue","revenue_boxcox","Action","Adventure","Animation","Comedy","Crime","Documentary","Drama","Family","Fantasy","Foreign","History","Horror","Music","Mystery","Romance","Science_Fiction","Thriller","Tv_movie","War","Western"
1,"Hot Tub Time Machine 2","Yes","Yes",14000000,129.336989489283,6.575393,2.53149439457352,93,"Febrero",2015,289,96,133,12314651,41.1731570381204,"0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
2,"The Princess Diaries 2: Royal Engagement","Yes","Yes",40000000,160.722700867,8.248895,2.94432214890186,113,"Agosto",2004,62,80,64,95149435,52.7827914460494,"0","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0"
3,"Whiplash","No","Yes",3300000,95.6173308542781,64.29999,8.2903030826384,105,"Octubre",2014,26,71,186,13092000,41.4873571065363,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
4,"Kahaani","No","No",1200000,77.1875914758614,3.174936,1.38077151761231,122,"Marzo",2012,0,7,3,16000000,42.5305560880754,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0"
5,"Marine Boy","No","No",80000000,185.365393871588,1.14807,0.140982182730864,118,"Febrero",2009,0,2,2,3923970,35.64283038107,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
6,"Pinocchio and the Emperor of the Night","No","Yes",8000000,115.112443398143,0.743274,-0.283869916536262,83,"Agosto",1987,0,20,26,3261638,34.8067635941042,"0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
7,"The Possession","No","Yes",14000000,129.336989489283,7.286477,2.7149764216364,92,"Agosto",2012,5,32,210,85446075,52.1110987195,"0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0"
8,"Control Room","No","Yes",350000,59.2367578561721,1.949044,0.738830461530377,84,"Enero",2004,0,2,0,2586511,33.7795640858542,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
9,"Muppet Treasure Island","Yes","Yes",26000000,147.04238514776,6.902423,2.61751958641081,100,"Febrero",1996,62,35,49,34327391,46.6975221931515,"1","1","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0"
10,"A Mighty Wind","No","Yes",6000000,108.396657763303,4.672036,1.9600165282885,91,"Abril",2003,21,139,31,18750246,43.3704293995439,"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
11,"Rocky","Yes","Yes",1000000,74.2446596230558,14.774066,4.14369034060105,119,"Noviembre",1976,44,115,126,117235147,54.1070486305889,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
12,"Revenge of the Nerds II: Nerds in Paradise","Yes","Yes",17000000,134.65606100395,10.54375,3.42403006755747,98,"Julio",1987,147,74,8,22642033,44.3865539570277,"0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
13,"American Beauty","No","Yes",15000000,131.203496371333,20.726578,4.94298195399123,122,"Septiembre",1999,27,119,369,356296601,61.6442215030084,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
14,"Be Cool","Yes","Yes",53000000,170.317463346016,13.314233,3.91392247737507,118,"Marzo",2005,100,180,130,95226116,52.7878492818726,"0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
15,"Minority Report","No","Yes",102000000,194.843505285602,20.666063,4.93572527314552,145,"Junio",2002,190,135,528,358372926,61.6858632207355,"1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0"
17,"Red Eye","No","Yes",26000000,147.04238514776,6.336927,2.46685848721886,85,"Agosto",2005,36,81,213,57891803,49.7395170811555,"0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0"
18,"The Invisible Woman","No","Yes",10000000,120.594321575479,4.183558,1.78752172413665,111,"Diciembre",2013,32,58,77,1234254,30.6574797472284,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0"
19,"Chalet Girl","No","Yes",8000000,115.112443398143,6.496259,2.51022985722147,96,"Febrero",2011,16,52,5,1749457,32.1007979503075,"0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
20,"Transporter 2","Yes","Yes",32000000,153.489319246112,11.359659,3.57683033276617,87,"Agosto",2005,167,69,99,85167639,52.0908293533229,"1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
21,"Lost in Space","No","Yes",80000000,185.365393871588,12.000579,3.69155467987991,130,"Abril",1998,77,77,302,136159423,55.0735905314553,"0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0"
22,"Friday the 13th Part III","Yes","Yes",4000000,99.5639552591275,7.99229,2.88508758219277,95,"Agosto",1982,161,2,34,36690067,47.0761736351455,"0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0"
23,"V/H/S","Yes","Yes",13000000,127.360584035269,7.820787,2.84475171664848,116,"Julio",2012,6,21,35,100345,21.6336695589732,"0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0"
25,"Black Sheep","No","Yes",1500000,80.9385963793741,7.434577,2.75159719737198,87,"Septiembre",2006,2,4,22,4947717,36.7132931749738,"0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
26,"Dr. Giggles","No","Yes",4000000,99.5639552591275,1.252367,0.232805362155315,95,"Octubre",1992,200,32,58,8403433,39.2544727165343,"0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0"
27,"The Spanish Prisoner","No","Yes",10000000,120.594321575479,4.305735,1.83193555457087,110,"Septiembre",1997,0,28,169,13835130,41.772403159224,"0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0"
28,"What If","No","Yes",11000000,123.011368782228,10.841891,3.48079418011387,93,"Septiembre",2013,2,50,40,7847000,38.9181883931774,"0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0"
29,"The Transformers: The Movie","No","Yes",6000000,108.396657763303,6.759181,2.58019889697109,84,"Agosto",1986,6,86,5,5849647,37.5021170986261,"0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
30,"Changing Lanes","No","Yes",45000000,164.67290951358,7.81862,2.84423811582354,89,"Abril",2002,161,114,68,94935764,52.7686784485877,"1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
31,"The Intouchables","No","No",13000000,127.360584035269,16.086919,4.33711250703316,112,"Noviembre",2011,34,15,20,426480871,62.9440639573715,"0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
32,"Caché","No","No",20000000,139.269990590722,5.69586,2.28421136976001,117,"Mayo",2005,46,13,13,36000000,46.9679052028352,"0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0"
33,"The Last Witch Hunter","No","Yes",90000000,189.90299204581,13.412445,3.92991898687569,106,"Octubre",2015,37,68,286,146936910,55.5711937529047,"1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
35,"Rush Hour 3","Yes","Yes",140000000,207.909780137286,9.718111,3.26073285152369,91,"Agosto",2007,75,77,138,258022233,59.3690445705177,"1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
36,"Safe","No","Yes",30000000,151.456732226595,8.234382,2.94100665854483,94,"Abril",2012,17,60,185,40346186,47.6209280275004,"1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
37,"About Adam","No","Yes",19000000,137.797539570737,2.100499,0.831287707942773,105,"Enero",2000,6,11,2,151559,22.9653865872774,"0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
38,"Outbreak","No","Yes",50000000,168.286210788787,13.676444,3.97251585059559,127,"Marzo",1995,212,112,107,189859560,57.2733797867692,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0"
39,"Final: The Rapture","No","Yes",5000000,104.336207394328,0.32926,-0.944749781068654,90,"Septiembre",2013,0,0,2,92100,21.3636040900131,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
41,"Cocaine Cowboys","Yes","Yes",28000000,149.312678841594,2.941626,1.27405673612444,118,"Abril",2006,0,0,0,163000,23.2061679725555,"1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
42,"Cool Hand Luke","No","Yes",3000000,93.7175242917412,9.718713,3.26085539206002,126,"Junio",1967,204,117,91,16217773,42.6016202632742,"0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
43,"The Next Best Thing","No","Yes",25000000,145.854408413629,2.971999,1.2882771852347,108,"Marzo",2000,176,51,66,24362772,44.7863881533552,"0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
44,"5 Flights Up","No","Yes",6000000,108.396657763303,9.383088,3.19169620603115,92,"Septiembre",2014,4,98,13,1020921,29.8932311801639,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
45,"The Wedding Date","No","Yes",15000000,131.203496371333,5.615303,2.26025761671755,88,"Febrero",2005,8,39,21,47175038,48.5290164212083,"0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
46,"The Double Hour","No","No",3906840,99.0722944562317,2.382068,0.991456344139606,95,"Octubre",2009,6,0,2,4300000,36.0624300362226,"0","0","0","0","1","0","1","0","0","0","0","0","0","1","1","0","1","0","0","0"
47,"Ice Age: The Meltdown","Yes","Yes",80000000,185.365393871588,16.646029,4.41613556035828,91,"Marzo",2006,17,143,55,660940780,66.210753380991,"0","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
48,"The Hateful Eight","No","Yes",44000000,163.912013777016,20.328822,4.89501008707132,167,"Diciembre",2015,26,110,345,155760117,55.954681353138,"0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1"
49,"Wilson","No","Yes",5000000,104.336207394328,8.984386,3.10725092188616,94,"Marzo",2017,2,83,78,653951,28.1552690952276,"0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
50,"Star Trek: Generations","Yes","Yes",38000000,159.031298802529,8.105708,2.91143068635056,118,"Noviembre",1994,161,75,34,120000000,54.2566565994012,"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0"
51,"Moscow, Belgium","No","No",560000,65.5679676106999,1.572904,0.485136907990181,102,"Enero",2008,0,5,0,1500000,31.4580743352544,"0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0"
52,"The Great Race","No","Yes",12000000,125.258554234868,4.473327,1.89144583460904,160,"Julio",1965,202,42,51,25333333,45.0008287134652,"0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
53,"The Last Flight of Noah's Ark","No","Yes",12000000,125.258554234868,1.012665,0.0126092587217741,97,"Junio",1980,5,27,6,11000000,40.5986894656823,"0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
54,"For Keeps","No","Yes",1000000,74.2446596230558,5.410839,2.19836042211608,98,"Enero",1988,53,20,19,17514553,43.0078153611126,"0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0"
55,"Risen","No","Yes",20000000,139.269990590722,8.759801,3.05852318194304,107,"Febrero",2016,99,46,67,46069568,48.390395107894,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
56,"Son in Law","No","Yes",16000000,132.972966146122,9.122718,3.13684156356942,95,"Julio",1993,24,35,4,36448200,47.0384359924204,"0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0"
57,"Queen to Play","No","No",14000000,129.336989489283,2.94798,1.27704011175516,97,"Agosto",2009,2,12,2,1056938,30.0317846030082,"0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
58,"Batman & Robin","Yes","Yes",125000000,203.138301850469,17.038824,4.47054752426397,125,"Junio",1997,216,84,335,238207122,58.8169584980096,"1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
59,"Were The World Mine","No","Yes",2500000,90.1826969357941,1.882446,0.696578115940951,95,"Junio",2008,0,3,0,119563,22.1928688520907,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0"
60,"All About the Benjamins","No","Yes",14000000,129.336989489283,3.909079,1.684324928896,95,"Marzo",2002,75,46,0,25482931,45.0332217303072,"1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
61,"Casino Royale","Yes","Yes",150000000,210.867994188328,23.065078,5.21271261632045,144,"Noviembre",2006,25,102,440,599045960,65.4650761053034,"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
